topic,ground truth,most similar
Finding and navigating all links on a webpage using a screen reader,JAWS can list all links on a webpage in a dialog for quick navigation.,JAWS can list all links on a webpage in a dialog for quick navigation.
"Customizing a screen reader with add-ons, extensions, or scripts",NVDA is open source and allows community-developed add-ons.,Screen readers can interact with dialog boxes and pop-ups.
"How screen readers interpret document structure (headings, tables, forms, landmarks)","Screen readers can expose document structure like tables, lists, and headings.","Screen readers can expose document structure like tables, lists, and headings."
Using braille output alongside speech in screen readers,Screen readers can present information through both speech and braille simultaneously.,Screen readers can present information through both speech and braille simultaneously.
"Different ways screen magnifiers enlarge content (full screen, lens, docked, etc.)","Windows Magnifier offers full-screen, lens, and docked viewing modes.","Windows Magnifier offers full-screen, lens, and docked viewing modes."
Techniques for improving mouse or cursor visibility when zoomed in,Pointer trails improve visibility of fast cursor movement.,Cursor enlargement makes the mouse pointer easier to locate on screen.
Visual adjustments that reduce glare and improve contrast for readability,Mobile accessibility includes color inversion and contrast settings.,High-contrast themes improve readability of system interfaces.
How refreshable braille displays present digital text,Refreshable braille displays use moving pins to form braille characters.,Refreshable braille displays use moving pins to form braille characters.
Methods for typing directly in braille on electronic devices,Braille Screen Input lets users type braille directly on a touchscreen.,Braille keyboards allow direct braille input to computers.
Using braille for proofreading and identifying spelling or formatting issues,Braille output supports proofreading by revealing spelling errors.,Braille output supports proofreading by revealing spelling errors.
How smartphone screen readers enable navigation through touch gestures,VoiceOver on iOS uses gestures to navigate and activate interface elements.,Mobile screen readers announce focused controls and their roles.
Using mobile devices with speech while keeping the screen visually private or off,VoiceOver’s screen curtain turns off the display while keeping audio active.,VoiceOver can present content in braille through paired devices.
"Connecting and using braille with smartphones, including braille input methods",Braille displays connect to computers via USB or Bluetooth.,Braille displays can pair with smartphones for mobile access.
Operating a computer primarily through the keyboard instead of a mouse,Keyboard navigation allows access to menus without a mouse.,Keyboard navigation allows access to menus without a mouse.
"Identifying which window, control, or interface element is currently active",Focus indicators highlight the active control on screen.,Focus indicators highlight the active control on screen.
Customizing visual and motion settings on a desktop for accessibility,High-contrast themes replace interface colors to improve text visibility.,Desktop accessibility can be customized for individual applications.
Using GPS-based tools for pedestrian navigation with audio guidance,GPS navigation apps provide turn-by-turn audio directions for pedestrians.,GPS navigation apps provide turn-by-turn audio directions for pedestrians.
Technologies that support indoor navigation in large buildings,Indoor navigation systems often rely on Bluetooth beacons.,Indoor navigation can use Wi-Fi positioning.
Tools for detecting and avoiding obstacles while traveling,Wearable sensors can detect obstacles at head height.,Some devices detect head-level obstacles for safety.
"Non-visual ways of understanding direction, distance, and orientation",Orientation tools can announce compass directions.,Wearable devices can provide spatial audio cues for orientation.
Using a camera or phone to read printed documents aloud,Mobile OCR apps can read printed mail aloud using a phone camera.,Mobile OCR apps can read printed mail aloud using a phone camera.
Factors that affect the accuracy of text recognition from images,OCR accuracy improves with good lighting and flat documents.,OCR can identify text in low-contrast images.
"Recognizing text in real-world environments (signs, labels, handwriting)",OCR can identify text in photographs of signs.,OCR can identify text in photographs of signs.
Sending recognized text to screen readers or braille displays,OCR can export recognized text to screen readers.,OCR can export text to braille displays.
"Hands-free ways to manage reminders, messages, and phone calls",Users can ask assistants to read incoming messages aloud.,Voice assistants can set reminders using spoken commands.
Using voice assistants to control devices in a home environment,Smart speakers support hands-free control of home devices.,Some systems provide voice feedback for smart appliances.
Voice-based control of accessibility features and settings,Assistants can control accessibility settings like screen readers.,Assistants can control accessibility features through voice.
Standalone devices for reading printed text without relying on a smartphone,Portable video magnifiers use cameras to enlarge printed text.,Mobile OCR apps can read printed mail aloud using a phone camera.
Tactile and audio-based hardware that conveys information without visuals,Some braille devices include audio output as well as tactile output.,Some braille devices include audio output as well as tactile output.
"Assistive hardware that supports everyday tasks like labeling, measuring, and navigation",GPS navigation apps provide turn-by-turn audio directions for pedestrians.,Programs introduce assistive hardware devices.
Learning to use screen readers efficiently with keyboard commands,Screen reader training teaches keyboard shortcuts for navigation.,Screen reader training teaches keyboard shortcuts for navigation.
Programs and methods for learning braille,Braille literacy programs teach contracted and uncontracted braille.,Training programs teach braille display navigation.
How people discover and learn new assistive technologies,Continuing education keeps users informed about new tools.,Programs introduce assistive hardware devices.
Training for independent travel and everyday technology use,Orientation and mobility training teaches safe travel techniques.,Orientation and mobility training teaches safe travel techniques.
