Finding and navigating all links on a webpage using a screen reader,JAWS can list all links on a webpage in a dialog for quick navigation.,"NVDA provides single-letter navigation for headings, links, and form fields in browsers.","Screen readers announce ARIA landmarks such as navigation, main, and complementary regions."
"Customizing a screen reader with add-ons, extensions, or scripts",NVDA is open source and allows community-developed add-ons.,JAWS supports application-specific scripts to customize spoken output.,VoiceOver on macOS uses the rotor to change navigation modes without opening menus.
"How screen readers interpret document structure (headings, tables, forms, landmarks)","Screen readers can expose document structure like tables, lists, and headings.","Screen readers announce ARIA landmarks such as navigation, main, and complementary regions.","NVDA provides single-letter navigation for headings, links, and form fields in browsers."
Using braille output alongside speech in screen readers,Screen readers can present information through both speech and braille simultaneously.,Braille displays present screen reader output in tactile form.,Braille displays can mirror the screen reader’s review cursor.
"Different ways screen magnifiers enlarge content (full screen, lens, docked, etc.)","Windows Magnifier offers full-screen, lens, and docked viewing modes.",Magnifiers can reduce screen clutter by hiding non-essential elements.,Lens mode enlarges only a portion of the screen around the pointer.
Techniques for improving mouse or cursor visibility when zoomed in,Pointer trails improve visibility of fast cursor movement.,Cursor enlargement makes the mouse pointer easier to locate on screen.,Keyboard shortcuts reduce reliance on precise mouse movement.
Visual adjustments that reduce glare and improve contrast for readability,Mobile accessibility includes color inversion and contrast settings.,Color inversion swaps light and dark areas to reduce glare for some users.,High-contrast themes replace interface colors to improve text visibility.
How refreshable braille displays present digital text,Refreshable braille displays use moving pins to form braille characters.,Braille displays present screen reader output in tactile form.,Braille displays can present cursor position in editable text.
Methods for typing directly in braille on electronic devices,Braille Screen Input lets users type braille directly on a touchscreen.,Some braille displays include Perkins-style keyboards for input.,Braille keyboards allow direct braille input to computers.
Using braille for proofreading and identifying spelling or formatting issues,Braille output supports proofreading by revealing spelling errors.,Braille displays can show formatting indicators such as capitalization.,JAWS can announce spelling errors in editable text fields.
How smartphone screen readers enable navigation through touch gestures,VoiceOver on iOS uses gestures to navigate and activate interface elements.,TalkBack provides spoken hints for performing gestures.,VoiceOver can navigate by form controls in web content.
Using mobile devices with speech while keeping the screen visually private or off,VoiceOver’s screen curtain turns off the display while keeping audio active.,TalkBack can announce changes in screen content dynamically.,Android includes an accessibility menu with large on-screen controls.
"Connecting and using braille with smartphones, including braille input methods",Braille displays connect to computers via USB or Bluetooth.,Braille Screen Input lets users type braille directly on a touchscreen.,Mobile devices support external braille displays via Bluetooth.
Operating a computer primarily through the keyboard instead of a mouse,Keyboard navigation allows access to menus without a mouse.,Keyboard shortcuts reduce reliance on precise mouse movement.,Sticky Keys allow modifier keys to be pressed one at a time.
"Identifying which window, control, or interface element is currently active",Focus indicators highlight the active control on screen.,Focus highlighting visually marks the currently selected control.,JAWS can track focus changes between windows and dialogs.
Customizing visual and motion settings on a desktop for accessibility,High-contrast themes replace interface colors to improve text visibility.,Desktop accessibility includes options for reducing motion effects.,High-contrast themes improve readability of system interfaces.
Using GPS-based tools for pedestrian navigation with audio guidance,GPS navigation apps provide turn-by-turn audio directions for pedestrians.,Wearable devices can provide spatial audio cues for orientation.,Orientation tools can announce compass directions.
Technologies that support indoor navigation in large buildings,Indoor navigation systems often rely on Bluetooth beacons.,Indoor maps can guide users through large buildings.,Indoor navigation can use Wi-Fi positioning.
Tools for detecting and avoiding obstacles while traveling,Wearable sensors can detect obstacles at head height.,Some devices detect head-level obstacles for safety.,Smart canes can detect obstacles using ultrasonic sensors.
"Non-visual ways of understanding direction, distance, and orientation",Orientation tools can announce compass directions.,Audio compasses announce cardinal directions.,Wearable devices can provide spatial audio cues for orientation.
Using a camera or phone to read printed documents aloud,Mobile OCR apps can read printed mail aloud using a phone camera.,Language detection allows OCR to read documents in multiple languages.,OCR accuracy improves with good lighting and flat documents.
Factors that affect the accuracy of text recognition from images,OCR accuracy improves with good lighting and flat documents.,Skew correction straightens images before recognition.,Cloud-based OCR often provides higher accuracy than offline engines.
"Recognizing text in real-world environments (signs, labels, handwriting)",OCR can identify text in photographs of signs.,OCR apps can read labels on packaged goods.,OCR can identify text in product labels.
Sending recognized text to screen readers or braille displays,OCR can export recognized text to screen readers.,OCR can export text to braille displays.,JAWS supports braille displays for tactile output of on-screen text.
"Hands-free ways to manage reminders, messages, and phone calls",Users can ask assistants to read incoming messages aloud.,Speech recognition enables dictation of text messages.,Voice assistants can place phone calls by contact name.
Using voice assistants to control devices in a home environment,Smart speakers support hands-free control of home devices.,Assistants can control smart thermostats and lighting.,Some systems provide voice feedback for smart appliances.
Voice-based control of accessibility features and settings,Assistants can control accessibility settings like screen readers.,Android includes an accessibility menu with large on-screen controls.,Mobile screen readers announce focused controls and their roles.
Standalone devices for reading printed text without relying on a smartphone,Portable video magnifiers use cameras to enlarge printed text.,Handheld scanners can read labels and packaging aloud.,Mobile OCR apps can read printed mail aloud using a phone camera.
Tactile and audio-based hardware that conveys information without visuals,Some braille devices include audio output as well as tactile output.,Braille embossers print tactile documents on paper.,Braille displays present screen reader output in tactile form.
"Assistive hardware that supports everyday tasks like labeling, measuring, and navigation",GPS navigation apps provide turn-by-turn audio directions for pedestrians.,Audio thermometers announce temperature readings.,Orientation tools can announce compass directions.
Learning to use screen readers efficiently with keyboard commands,Screen reader training teaches keyboard shortcuts for navigation.,Practice exercises improve screen reader efficiency.,Instruction includes using screen readers with spreadsheets.
Programs and methods for learning braille,Braille literacy programs teach contracted and uncontracted braille.,Uncontracted braille spells out every word letter by letter.,Training programs teach braille display navigation.
How people discover and learn new assistive technologies,Continuing education keeps users informed about new tools.,Technology workshops introduce new accessibility applications.,Courses introduce audio labeling techniques.
Training for independent travel and everyday technology use,Orientation and mobility training teaches safe travel techniques.,Training teaches safe navigation with GPS tools.,GPS tools can announce current location on demand.
