Topic,User Question,Relevant Note 1,Relevant Note 2,Relevant Note 3
Privacy in Public,"I'm on the bus and want to check my bank balance without people seeing my screen. How do I turn the display off while the screen reader keeps talking?",To activate Screen Curtain on iOS and turn off the display triple-tap with three fingers.,You can hide the screen for privacy by selecting Hide Screen in the TalkBack menu.,A three-finger triple tap toggles the Screen Curtain to darken the screen for privacy.
Identifying Paper Money,"I have a stack of bills in my wallet. Which apps or tools can help me figure out if I'm holding a $1 or a $20?",The Currency channel in Seeing AI identifies bank notes from various countries.,Cash Reader is an app dedicated specifically to identifying currency from many countries.,US Currency is historically difficult to identify tactually without an app or device.
Listing Links,"I'm on a messy website with JAWS. How do I just get a list of the links so I don't have to tab through everything?",In JAWS the command Insert + F7 brings up a list of all links on the current webpage.,Link Lists allows users to pull up all links on a page (Insert + F7 in JAWS).,
Reading Physical Documents (OCR),"I just received a printed letter in the mail. How can I read it using my phone or computer?",The Document channel in Seeing AI requires you to take a photo and provides audio guidance to align edges.,Lookout's Documents mode helps scan full pages of text on Android.,Insert + Space followed by O then D performs OCR on the current document or image.
Silencing Speech,"My screen reader is talking too much. What is the quickest way to make it stop speaking instantly?",To silence JAWS speech immediately press the Control key.,To stop Narrator from reading continuously press the Control key.,To stop VoiceOver from speaking immediately perform a two-finger single tap.
Navigating by Headings,"I want to skim a news article by jumping from headline to headline. What key should I press?",The H key acts as the shortcut for Headings in most major screen readers (JAWS NVDA VoiceOver).,To list all headings on a webpage in JAWS press Insert + F6.,
Connecting with Volunteers,"I dropped my earring and can't find it. Is there an app that lets me video call a sighted person to help me look?",Be My Eyes connects blind users to sighted volunteers via video call.,Aira provides on-demand access to professional visual interpreters for a subscription fee.,
Checking the Time,"I need to know what time it is, but I don't want to minimize my current window. Is there a shortcut?",To read the current time in JAWS press Insert + F12.,NVDA + F12 allows you to hear the time.,Talking watches press a button to announce the time audibly.
Typing Braille on Touchscreen,"I want to type faster on my phone using Braille input. How does that work?",Braille Screen Input on iOS allows you to calibrate dot positions based on where your fingers land.,TalkBack supports a braille keyboard that allows typing directly on the screen.,In Braille Screen Input swiping right adds a space.
Outdoor GPS Navigation,"I'm walking to a new coffee shop. What app can give me audio cues about the intersections I'm passing?",BlindSquare is a GPS app that announces points of interest and intersections.,Soundscape (and its community successors) uses 3D audio to place sounds virtually in space for navigation.,Lazarillo is a GPS app that focuses on accessible routing and indoor navigation in some venues.
Using Windows Magnifier,"I have low vision and just want to zoom in on my PC screen. What is the keyboard shortcut to turn on the magnifier?",Windows Key + Plus turns on Magnifier and zooms in.,Windows Key + Esc closes Windows Magnifier.,Windows Key + Minus zooms out.
Identifying Food,"I'm holding a can of soup but I don't know what flavor it is. How can I find out?",Lookout's Food Label mode scans barcodes to identify packaged grocery items.,The Short Text channel in Seeing AI reads text as soon as it appears in the camera frame.,
Accessing TalkBack Menu,"I'm using an Android phone and need to change my reading settings. How do I open the main TalkBack menu?",The TalkBack menu is accessed by a three-finger tap or an L-shaped gesture (swipe down then right).,To read from the top open the TalkBack menu and select Read from top.,
Reading Audiobooks,"I want to listen to a book from the NLS library. What app or device should I use?",Bard Mobile allows users to download audiobooks from the NLS Braille and Audio Reading Download service.,Victor Reader Stream is a handheld media player for blind users with tactile buttons.,Digital talking book players are hardware devices specifically for playing NLS books.
Switching Open Apps,"I have too many apps open. How do I switch between them using my screen reader?",To switch between open applications with JAWS speech support use Alt + Tab.,To access the App Switcher swipe up from the bottom and hold until a second vibration is felt.,Use a single-finger swipe left then right to open the Recent Apps overview (button navigation).
Mac VoiceOver Basics,"I'm trying to learn a Mac. How do I turn the screen reader on and what are the modifier keys?",Command + F5 toggles VoiceOver on macOS.,The VoiceOver keys (VO keys) are Control + Option.,
Color Identification,"I'm sorting laundry. How do I tell if this shirt is red or blue?",The Color channel in Seeing AI identifies the color of the object in the center of the frame.,Color identifiers are small devices that speak the color of the object they are touched to.,
Navigating Data Tables,"I'm reading a financial chart on a website. How do I move through the cells?",Table navigation in JAWS uses Alt + Ctrl + Arrow Keys to move between cells.,T is the shortcut key to jump to the next table in JAWS and NVDA.,Tables should have column headers (th) defined so screen readers can associate data cells with headers.
Using Braille Displays,"I want to scroll through text on my Braille display without taking my hands off it. Which keys do I use?",Panning buttons are used to scroll the braille display to the next section of text.,Cursor Routing buttons are located above each cell on a display to move the cursor to that specific character.,
Restarting Screen Readers,"My screen reader is acting glitchy. How do I turn it off or restart it quickly?",To quit NVDA completely press NVDA + Q.,Caps Lock + Esc exits Narrator.,To turn VoiceOver on or off use Siri and say Turn on VoiceOver.
